Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"i18n::phonenumbers::AutoLock::AutoLock(i18n::phonenumbers::Lock &)",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,2,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AutoLock::~AutoLock()",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"i18n::phonenumbers::BuildLookupTable(const i18n::phonenumbers::StringPiece &,bool *)",,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,5,4,0,0,0,3,2,0,5,7,3,0,4,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Static Function,"i18n::phonenumbers::CodepointCount(const char *,int)",,,,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"i18n::phonenumbers::CodepointDistance(const char *,const char *)",,,,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,7,3,4,1,0,0,1,2,0,5,7,2,0,5,2,2,2,1,0,,,,,0,,1,0,,0.14,,,,
Class Template,"i18n::phonenumbers::ConstMethodCallback4",0,1,0,3,14,0,1,1,1,1,1,0,1,0,1,1,0,,0,0,,,,,3,2,2,0,0,3,5,0,0,0,0,3,,17,3,14,4,0,0,0,0,,,,,8,8,0,0,,,,,,1,1,1,1,,1,0,,100,0.00,3,3,3,3
Public Function,"i18n::phonenumbers::ConstMethodCallback4::ConstMethodCallback4(const T *,i18n::phonenumbers::ConstMethodCallback4::MethodType)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Virtual Function,"i18n::phonenumbers::ConstMethodCallback4::Run(A1,A2,A3,A4)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Virtual Function,"i18n::phonenumbers::ConstMethodCallback4::~ConstMethodCallback4()",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"i18n::phonenumbers::ConstructFullLocale(const int &,const int &,const int &,int *)",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,2,0,0,0,0,0,1,0,3,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"i18n::phonenumbers::ContainsOnlyValidXChars(const i18n::phonenumbers::PhoneNumber &,const int &,const i18n::phonenumbers::PhoneNumberUtil &)",,,,0,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,0,25,5,1,11,0,0,1,1,0,10,4,3,0,1,1,1,1,1,0,,,,,0,,0,0,,0.44,,,,
Static Function,"i18n::phonenumbers::ConvertToInterchangeValid(char *,int)",,,,0,27,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,43,0,27,7,17,19,0,0,3,11,1,14,18,6,0,12,6,6,6,4,4,,,,,4,,3,3,,0.70,,,,
Struct Template,"i18n::phonenumbers::ConvertToString",0,1,0,0,5,0,1,1,1,1,1,0,1,0,0,0,0,,1,0,,,,,0,0,0,0,0,1,1,0,0,0,0,1,,5,0,5,1,0,0,0,0,,,,,1,1,0,0,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Public Static Function,"i18n::phonenumbers::ConvertToString::DoWork(const T &)",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Static Function,"i18n::phonenumbers::ConvertToString::DoWork(int)",,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,7,2,0,0,0,0,1,1,0,5,2,2,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Struct,"i18n::phonenumbers::ConvertToString<int>",0,7,0,0,10,0,1,1,1,1,7,0,7,0,0,0,0,,1,0,,,,,0,0,0,0,0,1,1,0,0,0,0,1,,10,0,10,3,0,0,0,0,,,,,5,5,0,0,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Function,"i18n::phonenumbers::CopyCoreFieldsOnly(const i18n::phonenumbers::PhoneNumber &,i18n::phonenumbers::PhoneNumber *)",,,,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,0,12,1,0,1,0,0,0,4,1,5,2,0,0,2,3,3,3,1,0,,,,,0,,1,0,,0.08,,,,
Struct,"i18n::phonenumbers::CountryLanguages",0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,7,1,4,1,0,2,0,0,,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,0,0.50,0,0,0,0
Function,"i18n::phonenumbers::CreateEmptyMetadata()",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,0,0,0,0,1,1,0,3,1,1,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"i18n::phonenumbers::CreateExtnPattern(bool)",,,,5,51,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,92,5,51,16,5,36,0,0,1,2,0,18,17,16,0,1,2,2,2,1,0,,,,,0,,1,0,,0.71,,,,
Struct Template,"i18n::phonenumbers::DefaultDeleter",0,1,0,0,13,12,1,1,1,1,1,0,1,0,0,0,0,,0,0,,,,,3,0,0,0,0,3,3,1,0,0,0,3,,25,0,13,4,0,12,0,0,,,,,4,4,0,0,,,,,,1,1,1,1,,0,0,,0,0.92,3,3,3,3
Public Function,"i18n::phonenumbers::DefaultDeleter::DefaultDeleter()",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
